CDOM,List Date,Current List Price,Status Change Date,Closed Date,Closed Price,Status,Statuschangetimestamp,Agent Only Remarks,Amenities,Basement,Concessions,Cooling,County,Exterior Features,Garage,Heating,HO Assoc,HO Assoc Fee,Interior Features,Lot_Desc,Lot_Square_Feet,MLS Number,Neighborhood,Public_Rmks,State,Street,# Full Baths,# Half Baths,# of Bedrooms,# of Rooms,Acres,ADOM,Exp. Date,Num Fireplaces,OffMarketDate,Original List Price,Reo_Property,Square_Feet,Street_Dir,Street_Post_Dir,Street_Type,Unit_No,Town,Year Built,Zip_Code,Num Stories,Prop Type,Street_No,Style
190,7/8/2015 0:00,54900,3/4/2016 14:25,3/1/2016 0:00,39487,Sold,3/4/2016 14:25,"Due to property condition, Cash or rehab loans only. Property is being made available through Hubzu online. Please submit all offers on Hubzu.com for consideration.",,"Full, Interior Access, Walk-Out",,None,Fairfield,,0,"Oil, Baseboard",FALSE,,,Level,,99112147,East Side,"Large Colonial home with all good-sized rooms! This East side vintage house offers a main level formal living room, formal dining room and eat in kitchen. 3 bedrooms and full bath on second floor. Finished third floor offers 2 additional rooms. this house has plenty of storage and is worth the effort. Easy access to all major highways as well as Bridgeport Hospital and new Steel Pointe development!",Connecticut,Huntington,1,1,4,7,0.04,190,,0,1/28/2016 0:00,69900,TRUE,1461,,,Road,,Bridgeport,1907,6608,,Single Family,118,Colonial
24,8/10/2016 0:00,41600,9/19/2016 16:20,9/16/2016 0:00,40500,Sold,9/19/2016 16:20,THIS IS A FANNIE MAE HOMEPATH PROPERTY. PLEASE VISIT WWW.HOMEPATH.COM FOR MORE INFORMATION AND TO SUBMIT ALL OFFERS.,,Full,,None,Fairfield,,0,Oil,FALSE,,,Level,,99156778,N/A,"GREAT STARTER OR INVESTMENT OPPORTUNITY AWAITS YOU. OFF STREET PARKING, ALUMINUM EXT, FRONT PORCH AND FULL BASEMENT FOR ADDED STORAGE AND CONVENIENCE.",Connecticut,Deforest,1,1,3,6,0.08,24,,0,9/6/2016 0:00,41600,TRUE,1565,,,Avenue,,Bridgeport,1910,6607,,Single Family,231,Colonial
42,12/13/2016 0:00,49900,2/3/2017 10:12,2/2/2017 0:00,45000,Sold,2/3/2017 10:12,"This property is sold As Is, Where Is. Buyer to do property clean out. Subject to Probate Court Approval.",,Full,,None,Fairfield,,0,"Gas, Hot Air",FALSE,,,Level,,99168489,East Side,"This property is sold As Is, Where IS. Buyer to do property clean out. Subject to Probate Court Approval",Connecticut,Huntington,1,0,3,6,0.04,42,,0,1/24/2017 0:00,49900,FALSE,1248,,,Road,,Bridgeport,1907,6608,,Single Family,124,Colonial
12,6/22/2016 0:00,59900,7/22/2016 11:32,7/21/2016 0:00,50000,Sold,7/22/2016 11:32,Seller does not do any representation on finished attic and basement nor  1/2 bath on main fl. Buyer due their on diligent on property.,,"Full, Part Finished",,None,Fairfield,,0,Oil,FALSE,,,"Level, Partially Fenced",,99151051,West End,Ample colonial style price to sale. 4 bdrms 2 full baths and 1 half bath Needs some work but worth the effort. Cash prefer but also can be FHA203K . Sellers does not do any representation on finished basement and attic. nor 1/2 half on Main fl.  NOT A SHORT SALE EASY TRANSACTION.,Connecticut,Clinton,1,0,4,7,0.12,12,,0,7/4/2016 0:00,59900,FALSE,1711,,,Avenue,,Bridgeport,1900,6605,,Single Family,67,Colonial
86,8/6/2016 0:00,54900,11/22/2016 11:48,11/22/2016 0:00,52000,Sold,11/22/2016 11:48,This is a Fannie Mae HomePath property. All offers to be submitted on www.homepath.com.Buyers and Buyers Agent go to:http://homepath.com/ready_buyer.html for new Home Path Ready Buyer Education Program. A $1000 Buyers agent bonus is available on this property. Buyers agent must request bonus at initial offer. Ask the Listing Agent.,,Full,,None,Fairfield,,0,"Gas, Hot Air",FALSE,,,Partially Fenced,,99156138,Mill Hill,"Charming Colonial located in the Mill Hill market area! This house features a main level enclosed porch, living room, formal dining room and kitchen. Upper level has three bedrooms and a full bath. Plenty of storage space located in the lower level. Good rear yard for entertaining. Convenient location to Bridgeport Hospital and within 5 minutes to major highways.",Connecticut,Dover,1,0,3,6,0.08,86,,0,10/31/2016 0:00,69900,TRUE,1262,,,Street,,Bridgeport,1917,6610,,Single Family,344,Colonial
53,9/8/2016 0:00,62000,11/11/2016 13:27,11/10/2016 0:00,60000,Sold,11/11/2016 13:27,,Public Transportation,Full,,None,Fairfield,Deck,0,Gas,FALSE,,,Fully Fenced,,99159593,Black Rock,"Handyman Special, Colonial with 3 Bedrooms and 1 Bathroom, Good potential, need work, Sold as is . Located on cul de sac,  walk in distance to Train Station, Shopping, Movie Theater, Beach and Highway. Make an offer on this one today before it is gone.",Connecticut,Siemon,1,0,3,7,0.08,53,,0,10/31/2016 0:00,79950,FALSE,1278,,,Street,,Bridgeport,1909,6605,,Single Family,49,Colonial
15,10/27/2016 0:00,60000,11/11/2016 17:21,,,Pending,11/11/2016 17:21,"Please submit all offers to the listing broker/agent. To report any concerns with a listing broker/agent, or to report any property condition or other concern needing escalation (including concerns related to a previously submitted offer), please call: 1-877-617-5274. All Offer to be on Standard MLS contract. Buyer Agent- exercise Due Diligent. Please read all supplements prior to emailing Agent",,Full,,None,Fairfield,,0,"Gas, Hot Air",FALSE,,,Level,,99164827,Mill Hill,"Great starter home with much possibilities, needed your updates does not qualified for FHA. Convenient access to highway, park, Public transportation & local commerce. To be sold AS-IS. See attachment for PAS requirements and WFHM offer submittal information in MLS document section. Seller wants Highest & Best by 11/08/2016 Noon, no exception.",Connecticut,Summerfield,2,0,3,6,0.15,15,,0,11/11/2016 0:00,60000,TRUE,1240,,,Avenue,,Bridgeport,1928,6610,,Single Family,289,Colonial
76,5/17/2016 0:00,75000,10/31/2016 10:24,10/25/2016 0:00,72000,Sold,10/31/2016 10:24,Short sale.  See addendum remarks.,,Full,,Wall Unit,Fairfield,,0,Oil,FALSE,,,"Fully Fenced, Level",,99146350,N/A,"Spacious and well maintained single property conveniently located near major highways and public transportation.  Property offers 3 bedrooms, eat in kitchen and 2 full baths.  Nice private yard for your summer gathering.  Property is Ideal for first time homebuyers or investors.  One of the best deal in town; you can't go wrong.  Property is a short sale.  To be sold in as is condition.  Short sale was recently approved and should go very fast.",Connecticut,Dewey,2,0,3,6,0.09,76,,0,8/2/2016 0:00,80000,FALSE,1400,,,Street,,Bridgeport,1907,6605,,Single Family,120,Colonial
162,1/19/2016 0:00,89900,8/10/2016 13:01,8/8/2016 0:00,75000,Sold,8/10/2016 13:01,,,"Full, Storage, Unfinished",,None,Fairfield,,0,"Oil, Hot Water",FALSE,,,,,99131067,Treeland,"SPRING PROJECT FOR CONTRACTOR! HOUSE HAS NEWER WINDOWS AND ROOF. OVERSIZED YARD .40 ACRE - EXPANSION POSSIBILITY! FEATURES LIVING ROOM WITH FIREPLACE, DEN, DINING ROOM, 1/2 BATH AND KITCHEN ON MAIN. 2ND LEVEL HAS 3 BEDROOMS, ONE OF WHICH IS TANDEM. FULL BASEMENT AND SHED FOR STORAGE. PROPERTY BEING SOLD ""AS IS"". GREAT FOR HANDYMAN!",Connecticut,Huntington,1,1,3,7,0.4,162,,1,6/28/2016 0:00,134900,FALSE,1325,,,Turnpike,,Bridgeport,1957,6610,,Single Family,191,Colonial
74,7/8/2016 0:00,80000,9/28/2016 13:41,9/28/2016 0:00,80000,Sold,9/28/2016 13:41,POF or Pre-approval letter to be presented with all offers.,"Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall, Tennis Courts","Full, Storage",,Window Unit,Fairfield,,0,Oil,FALSE,,Some Window Treatments,"Corner, Level, Partially Fenced",,99152503,East Side,3 Bedroom colonial with custom ornate molding and built-ins. Tucked away with one other home on street (MLS# 99152512) Spacious level lot with room to expand. Close access to all highways Priced to sell...Owner is motivated,Connecticut,Joseph,1,0,3,6,0.09,74,,0,9/9/2016 0:00,80000,FALSE,1671,,,Street,,Bridgeport,1902,6608,,Single Family,28,Colonial
